sb_n,edl_used,outer_f,gesture,recall
9,0,3,12,0.8720930232558141
10,0,3,1,0.8760683760683761
10,0,3,2,0.6994219653179191
10,0,3,3,0.9206349206349206
10,0,3,4,0.7722222222222223
10,0,3,5,0.7950310559006211
10,0,3,6,0.5364238410596026
10,0,3,7,0.8246445497630331
10,0,3,8,0.7592592592592593
10,0,3,9,0.920863309352518
10,0,3,10,0.8741258741258742
10,0,3,11,0.1308411214953271
10,0,3,12,0.7637795275590551
1,0,4,1,0.3742690058479532
1,0,4,2,0.3043478260869565
1,0,4,3,0.8263888888888888
1,0,4,4,1.0
1,0,4,5,0.6141732283464567
1,0,4,6,0.8068965517241379
1,0,4,7,0.5973154362416108
1,0,4,8,1.0
1,0,4,9,0.696078431372549
1,0,4,10,0.7383177570093458
1,0,4,11,0.6821705426356589
1,0,4,12,0.8415841584158416
2,0,4,1,0.6634146341463415
2,0,4,2,0.9318181818181818
2,0,4,3,0.7783505154639175
2,0,4,4,0.7528735632183908
2,0,4,5,0.9590643274853801
2,0,4,6,0.6726190476190477
2,0,4,7,0.8532110091743119
2,0,4,8,0.75
2,0,4,9,0.4065040650406504
2,0,4,10,0.8980891719745223
2,0,4,11,0.8512396694214877
2,0,4,12,1.0
3,0,4,1,0.6048387096774194
3,0,4,2,0.8909090909090909
3,0,4,3,0.7184466019417476
3,0,4,4,0.6402877697841727
3,0,4,5,0.7672413793103449
3,0,4,6,0.6046511627906976
3,0,4,7,1.0
3,0,4,8,0.9270833333333334
3,0,4,9,1.0
3,0,4,10,0.6129032258064516
3,0,4,11,0.9545454545454546
3,0,4,12,1.0
4,0,4,1,0.9659090909090908
4,0,4,2,0.7191780821917808
4,0,4,3,0.6511627906976745
4,0,4,4,0.9426229508196722
4,0,4,5,0.9270072992700732
4,0,4,6,0.5422535211267606
4,0,4,7,0.8636363636363636
4,0,4,8,0.8985507246376812
4,0,4,9,0.915032679738562
4,0,4,10,0.689922480620155
4,0,4,11,0.5396825396825397
4,0,4,12,0.8026315789473685
5,0,4,1,0.5588235294117647
5,0,4,2,0.9310344827586208
5,0,4,3,0.7773584905660378
5,0,4,4,0.8190476190476189
5,0,4,5,0.7857142857142857
5,0,4,6,0.9545454545454546
5,0,4,7,0.6818181818181818
5,0,4,8,1.0
5,0,4,9,0.7920792079207921
5,0,4,10,0.9036144578313252
5,0,4,11,1.0
5,0,4,12,0.7768595041322314
6,0,4,1,0.7454545454545455
6,0,4,2,0.6641791044776121
6,0,4,3,0.4311377245508982
6,0,4,4,0.5
6,0,4,5,0.8169014084507042
6,0,4,6,0.8776978417266187
6,0,4,7,0.7673267326732673
6,0,4,8,0.5912408759124088
6,0,4,9,0.19834710743801653
6,0,4,10,0.972972972972973
6,0,4,11,0.9636363636363636
6,0,4,12,0.7086092715231788
7,0,4,1,1.0
7,0,4,2,0.9075630252100841
7,0,4,3,0.7074829931972789
7,0,4,4,0.8205128205128205
7,0,4,5,0.8265895953757225
7,0,4,6,0.4411764705882353
7,0,4,7,0.9252873563218392
7,0,4,8,0.84
7,0,4,9,0.3410404624277457
7,0,4,10,0.9347826086956522
7,0,4,11,0.4916666666666666
7,0,4,12,0.9658119658119658
8,0,4,1,1.0
8,0,4,2,0.8288288288288288
8,0,4,3,0.7256637168141593
8,0,4,4,0.8734177215189873
8,0,4,5,0.7878787878787878
8,0,4,6,0.7142857142857143
8,0,4,7,0.9025974025974026
8,0,4,8,0.7445255474452555
8,0,4,9,0.4811320754716981
8,0,4,10,1.0
8,0,4,11,0.4788732394366197
8,0,4,12,0.9649122807017544
9,0,4,1,0.7109375
9,0,4,2,0.9142857142857144
9,0,4,3,0.8274111675126904
9,0,4,4,0.9629629629629628
9,0,4,5,0.8987341772151899
9,0,4,6,0.7592592592592593
9,0,4,7,0.9416058394160584
9,0,4,8,0.6329113924050633
9,0,4,9,0.125
9,0,4,10,1.0
9,0,4,11,0.9777777777777776
9,0,4,12,1.0
10,0,4,1,0.7361111111111112
10,0,4,2,0.6923076923076923
10,0,4,3,0.9434782608695652
10,0,4,4,0.5136612021857924
10,0,4,5,0.9113300492610836
10,0,4,6,0.5588235294117647
10,0,4,7,0.8689320388349514
