sb_n,edl_used,outer_f,acti_fun,skew,uncertainty,AUROC,AP,nAP
8,2,4,softplus,0.1867145421903052,vacuity,0.8298970774136337,0.4962125727335776,0.4401872003703978
8,2,4,softplus,0.1867145421903052,dissonance,0.8400313201637704,0.4736682999543458,0.41513581604221983
8,2,4,softplus,0.1867145421903052,overall,0.8775754231052246,0.5592057218252783,0.5101857141123073
9,2,4,softplus,0.15591054313099045,entropy,0.9011398468621636,0.6216482046690948,0.5875488638167938
9,2,4,softplus,0.15591054313099045,un_prob,0.9037738424690684,0.6225837163360164,0.5885686894253838
9,2,4,softplus,0.15591054313099045,vacuity,0.8823668110348593,0.6018706388724799,0.5659888247620893
9,2,4,softplus,0.15591054313099045,dissonance,0.7793710676213995,0.3424699279210389,0.283209360573
9,2,4,softplus,0.15591054313099045,overall,0.9020209478661224,0.6228095269636637,0.5888148514658041
10,2,4,softplus,0.3055276381909548,entropy,0.9159006302841036,0.7764531351790198,0.7301790637023357
10,2,4,softplus,0.3055276381909548,un_prob,0.9135168329651916,0.7778849272269759,0.7319072358745218
10,2,4,softplus,0.3055276381909548,vacuity,0.9113246439180441,0.780884664938876,0.7355279175544929
10,2,4,softplus,0.3055276381909548,dissonance,0.7015266775839744,0.4294507016247025,0.3113473274837439
10,2,4,softplus,0.3055276381909548,overall,0.9159684667529896,0.7765046480654504,0.7302412397264066
1,2,5,softplus,0.30058177117000645,entropy,0.7499453421580904,0.5458116807981817,0.4538064506492864
1,2,5,softplus,0.30058177117000645,un_prob,0.7609444875081985,0.5631331575833511,0.4746367505167821
1,2,5,softplus,0.30058177117000645,vacuity,0.7305944785641882,0.5171216204319355,0.4193046256572546
1,2,5,softplus,0.30058177117000645,dissonance,0.7111183988233657,0.4415284028080071,0.3283984396209997
1,2,5,softplus,0.30058177117000645,overall,0.7499214914634389,0.5457994322974262,0.4537917209615798
2,2,5,softplus,0.2503953610964681,entropy,0.8273069805314975,0.5496181262840193,0.4778449299036683
2,2,5,softplus,0.2503953610964681,un_prob,0.8264016581538235,0.5481272689692032,0.4761164884384322
2,2,5,softplus,0.2503953610964681,vacuity,0.8194344511066696,0.5416683242006337,0.4686282413414642
2,2,5,softplus,0.2503953610964681,dissonance,0.6812865497076023,0.3418043396176195,0.2369137808578984
2,2,5,softplus,0.2503953610964681,overall,0.8273069805314975,0.5496181262840193,0.4778449299036683
3,2,5,relu,0.2262773722627737,entropy,0.8667924528301888,0.5893216171688803,0.531639612635599
3,2,5,relu,0.2262773722627737,un_prob,0.8669385270846013,0.5911551797673122,0.5337307090379426
3,2,5,relu,0.2262773722627737,vacuity,0.8576780279975654,0.5761245055295146,0.5165888951449578
3,2,5,relu,0.2262773722627737,dissonance,0.6488131466828971,0.3498216777181631,0.2585006087230986
3,2,5,relu,0.2262773722627737,overall,0.8667924528301888,0.5893216171688803,0.531639612635599
4,2,5,softplus,0.2914317925591883,entropy,0.8756195479396618,0.7341448121484062,0.6824983274392366
4,2,5,softplus,0.2914317925591883,un_prob,0.8782262271319298,0.7351762731227365,0.6837301656710857
4,2,5,softplus,0.2914317925591883,vacuity,0.8593470376337385,0.7259153748947109,0.6726701946373269
4,2,5,softplus,0.2914317925591883,dissonance,0.6990701202857806,0.4355031903665609,0.3258409487428129
4,2,5,softplus,0.2914317925591883,overall,0.8756195479396618,0.7341448121484062,0.6824983274392366
5,2,5,softplus,0.2492172824045085,entropy,0.8788804321859506,0.6246441408646766,0.5651602156471638
5,2,5,softplus,0.2492172824045085,un_prob,0.8797574192899442,0.6369529999234067,0.5794197016481483
5,2,5,softplus,0.2492172824045085,vacuity,0.8757601602675595,0.6334390566319095,0.575348891759573
5,2,5,softplus,0.2492172824045085,dissonance,0.7894769929715297,0.4691833095322461,0.3850629753173268
5,2,5,softplus,0.2492172824045085,overall,0.8789663496800098,0.6247158661993285,0.5652433075406127
6,2,5,softplus,0.3452699091394976,entropy,0.8690351930245782,0.720575878111524,0.6519686343825009
6,2,5,softplus,0.3452699091394976,un_prob,0.8694976938143678,0.7189482864503877,0.6499414187482007
6,2,5,softplus,0.3452699091394976,vacuity,0.8569659442724459,0.7135189044277725,0.643178955912068
