edl_used,sb,test_trial,threshold,RR,TAR
0,7,1,0.56,0.2043,0.6338
0,7,1,0.58,0.2301,0.6432
0,7,1,0.6,0.2554,0.6527
0,7,1,0.62,0.28600000000000003,0.6619
0,7,1,0.64,0.3151,0.6758
0,7,1,0.66,0.3414,0.6898
0,7,1,0.68,0.3667,0.7029
0,7,1,0.7000000000000001,0.4011,0.7289
0,7,1,0.72,0.4285,0.7516
0,7,1,0.74,0.4554,0.772
0,7,1,0.76,0.479,0.7967
0,7,1,0.78,0.5,0.8151
0,7,1,0.8,0.5172,0.8274
0,7,1,0.8200000000000001,0.5328,0.8412
0,7,1,0.84,0.5532,0.8556
0,7,1,0.86,0.5704,0.8723
0,7,1,0.88,0.5866,0.8856
0,7,1,0.9,0.6022,0.8973
0,7,1,0.92,0.622,0.9104
0,7,1,0.94,0.6457,0.9181
0,7,1,0.96,0.6817,0.9257
0,7,1,0.98,0.743,0.9540000000000001
0,8,1,0.0,0.0,0.6313
0,8,1,0.02,0.0,0.6313
0,8,1,0.04,0.0,0.6313
0,8,1,0.06,0.0,0.6313
0,8,1,0.08,0.0,0.6313
0,8,1,0.1,0.0,0.6313
0,8,1,0.12,0.0,0.6313
0,8,1,0.14,0.0,0.6313
0,8,1,0.16,0.0,0.6313
0,8,1,0.18,0.0,0.6313
0,8,1,0.2,0.0,0.6313
0,8,1,0.22,0.0,0.6313
0,8,1,0.24,0.0,0.6313
0,8,1,0.26,0.0011,0.6309
0,8,1,0.28,0.0045,0.6319
0,8,1,0.3,0.0107,0.6348
0,8,1,0.32,0.022000000000000002,0.6398
0,8,1,0.34,0.0372,0.644
0,8,1,0.36,0.0564,0.6529
0,8,1,0.38,0.0688,0.6598
0,8,1,0.4,0.0772,0.6616
0,8,1,0.42,0.0908,0.6658
0,8,1,0.44,0.1077,0.6721
0,8,1,0.46,0.1285,0.6818
0,8,1,0.48,0.1505,0.6934
0,8,1,0.5,0.1702,0.7004
0,8,1,0.52,0.1973,0.7149
0,8,1,0.54,0.2131,0.7206
0,8,1,0.56,0.2339,0.7292
0,8,1,0.58,0.2554,0.7343
0,8,1,0.6,0.2734,0.7401
0,8,1,0.62,0.2931,0.7472
0,8,1,0.64,0.314,0.7568
0,8,1,0.66,0.345,0.7642
0,8,1,0.68,0.3698,0.7719
0,8,1,0.7000000000000001,0.3957,0.7799
0,8,1,0.72,0.4222,0.7902
0,8,1,0.74,0.451,0.7926
0,8,1,0.76,0.4746,0.7972
0,8,1,0.78,0.4989,0.8031
0,8,1,0.8,0.5282,0.8124
0,8,1,0.8200000000000001,0.5586,0.8186
0,8,1,0.84,0.5896,0.8297
0,8,1,0.86,0.6172,0.8424
0,8,1,0.88,0.6443,0.8479
0,8,1,0.9,0.6838,0.8699
0,8,1,0.92,0.7086,0.8878
0,8,1,0.94,0.7407,0.9022
0,8,1,0.96,0.7909,0.9515
0,8,1,0.98,0.8647,1.0
0,9,1,0.0,0.0,0.7276
0,9,1,0.02,0.0,0.7276
0,9,1,0.04,0.0,0.7276
0,9,1,0.06,0.0,0.7276
0,9,1,0.08,0.0,0.7276
0,9,1,0.1,0.0,0.7276
0,9,1,0.12,0.0,0.7276
0,9,1,0.14,0.0,0.7276
0,9,1,0.16,0.0,0.7276
0,9,1,0.18,0.0,0.7276
0,9,1,0.2,0.0,0.7276
0,9,1,0.22,0.0,0.7276
0,9,1,0.24,0.0012,0.7285
0,9,1,0.26,0.0019,0.7289
0,9,1,0.28,0.0056,0.7298
0,9,1,0.3,0.0094,0.7313
0,9,1,0.32,0.0118,0.7331
0,9,1,0.34,0.0137,0.7345
0,9,1,0.36,0.0168,0.7368
0,9,1,0.38,0.0212,0.7369
0,9,1,0.4,0.0318,0.7411
0,9,1,0.42,0.043,0.7466
0,9,1,0.44,0.0567,0.7515
0,9,1,0.46,0.0711,0.7544
0,9,1,0.48,0.0916,0.7618
0,9,1,0.5,0.1147,0.7683
0,9,1,0.52,0.1322,0.7751
0,9,1,0.54,0.1521,0.7838
0,9,1,0.56,0.1764,0.7933
0,9,1,0.58,0.1983,0.8002
0,9,1,0.6,0.2201,0.8098
0,9,1,0.62,0.2382,0.8183
0,9,1,0.64,0.255,0.8243
0,9,1,0.66,0.2718,0.8339
0,9,1,0.68,0.28800000000000003,0.8398
0,9,1,0.7000000000000001,0.3036,0.8505
0,9,1,0.72,0.3186,0.8609
0,9,1,0.74,0.3354,0.8724
0,9,1,0.76,0.35100000000000003,0.8886
0,9,1,0.78,0.3678,0.8964
0,9,1,0.8,0.3847,0.9078
0,9,1,0.8200000000000001,0.4034,0.9248
0,9,1,0.84,0.419,0.9292
0,9,1,0.86,0.43200000000000005,0.9363
0,9,1,0.88,0.4451,0.9427
0,9,1,0.9,0.4645,0.9569
0,9,1,0.92,0.4782,0.9642
0,9,1,0.94,0.4882,0.9695
0,9,1,0.96,0.5056,0.9735
0,9,1,0.98,0.5355,0.9732
0,10,1,0.0,0.0,0.6953
0,10,1,0.02,0.0,0.6953
0,10,1,0.04,0.0,0.6953
0,10,1,0.06,0.0,0.6953
0,10,1,0.08,0.0,0.6953
0,10,1,0.1,0.0,0.6953
0,10,1,0.12,0.0,0.6953
0,10,1,0.14,0.0011,0.6955
0,10,1,0.16,0.0045,0.6967
0,10,1,0.18,0.0056,0.6975
0,10,1,0.2,0.009000000000000001,0.6988
0,10,1,0.22,0.0123,0.6994
0,10,1,0.24,0.0163,0.7011
0,10,1,0.26,0.0224,0.7038
0,10,1,0.28,0.0292,0.7075
0,10,1,0.3,0.0382,0.7135
0,10,1,0.32,0.0527,0.7204
0,10,1,0.34,0.0662,0.7284
0,10,1,0.36,0.0825,0.7352
0,10,1,0.38,0.0943,0.7404
0,10,1,0.4,0.1094,0.7454
0,10,1,0.42,0.1184,0.7479
0,10,1,0.44,0.1347,0.7523
0,10,1,0.46,0.1521,0.7617
0,10,1,0.48,0.1768,0.7676
0,10,1,0.5,0.1992,0.7751
0,10,1,0.52,0.2183,0.7839
0,10,1,0.54,0.2402,0.7932
0,10,1,0.56,0.2666,0.8003
0,10,1,0.58,0.289,0.8074
0,10,1,0.6,0.3098,0.8187
0,10,1,0.62,0.3277,0.8247
0,10,1,0.64,0.3496,0.8318
0,10,1,0.66,0.3732,0.8406
0,10,1,0.68,0.3956,0.8449
0,10,1,0.7000000000000001,0.4248,0.8546
0,10,1,0.72,0.445,0.8595
0,10,1,0.74,0.4708,0.8791
0,10,1,0.76,0.4961,0.8898
0,10,1,0.78,0.5185,0.9009
0,10,1,0.8,0.5382,0.9101
0,10,1,0.8200000000000001,0.5629,0.9281
0,10,1,0.84,0.5853,0.9323
0,10,1,0.86,0.6105,0.9395
0,10,1,0.88,0.6352,0.9523
0,10,1,0.9,0.6577,0.9574
0,10,1,0.92,0.6785,0.9599
0,10,1,0.94,0.7015,0.9662
0,10,1,0.96,0.7391,0.9806
0,10,1,0.98,0.7856,0.9869
0,1,2,0.0,0.0,0.7164
0,1,2,0.02,0.0,0.7164
0,1,2,0.04,0.0,0.7164
0,1,2,0.06,0.0,0.7164
0,1,2,0.08,0.0,0.7164
0,1,2,0.1,0.0,0.7164
0,1,2,0.12,0.0,0.7164
0,1,2,0.14,0.0014,0.7174
0,1,2,0.16,0.0047,0.7198
0,1,2,0.18,0.0081,0.7223
0,1,2,0.2,0.0115,0.7241
0,1,2,0.22,0.017,0.726
0,1,2,0.24,0.0244,0.7309
0,1,2,0.26,0.0271,0.7308
0,1,2,0.28,0.0346,0.7344
0,1,2,0.3,0.0448,0.7372
0,1,2,0.32,0.0536,0.7427
0,1,2,0.34,0.0638,0.7464
0,1,2,0.36,0.0712,0.7495
0,1,2,0.38,0.0848,0.7539
0,1,2,0.4,0.095,0.7586
0,1,2,0.42,0.1024,0.7604
0,1,2,0.44,0.1133,0.7643
0,1,2,0.46,0.1235,0.767
0,1,2,0.48,0.135,0.7733
0,1,2,0.5,0.152,0.7808
0,1,2,0.52,0.1872,0.7871
0,1,2,0.54,0.2151,0.7978
0,1,2,0.56,0.2415,0.805
0,1,2,0.58,0.2639,0.8111
0,1,2,0.6,0.2917,0.8238
0,1,2,0.62,0.3256,0.8390000000000001
0,1,2,0.64,0.3501,0.8528
0,1,2,0.66,0.3731,0.8636
0,1,2,0.68,0.4009,0.8788
0,1,2,0.7000000000000001,0.4315,0.8998
0,1,2,0.72,0.462,0.9079
0,1,2,0.74,0.4864,0.9247
0,1,2,0.76,0.5142,0.9399
0,1,2,0.78,0.5434,0.9569
0,1,2,0.8,0.5672,0.9671
0,1,2,0.8200000000000001,0.5916,0.9751
0,1,2,0.84,0.6126,0.9842
0,1,2,0.86,0.6404,0.9925
0,1,2,0.88,0.6615,0.9940000000000001
0,1,2,0.9,0.6811,0.9979
0,1,2,0.92,0.7090000000000001,1.0
0,1,2,0.94,0.7449,1.0
0,1,2,0.96,0.7999,1.0
0,1,2,0.98,0.8541,1.0
0,2,2,0.0,0.0,0.7569
0,2,2,0.02,0.0,0.7569
0,2,2,0.04,0.0,0.7569
0,2,2,0.06,0.0,0.7569
0,2,2,0.08,0.0,0.7569
0,2,2,0.1,0.0,0.7569
0,2,2,0.12,0.0,0.7569
0,2,2,0.14,0.0,0.7569
0,2,2,0.16,0.0,0.7569
0,2,2,0.18,0.0005,0.7573
0,2,2,0.2,0.001,0.7572
0,2,2,0.22,0.0015,0.7576
0,2,2,0.24,0.0021,0.758
0,2,2,0.26,0.0041,0.7595
0,2,2,0.28,0.0057,0.7602
0,2,2,0.3,0.0087,0.7615
0,2,2,0.32,0.0118,0.7634
0,2,2,0.34,0.0206,0.7681
0,2,2,0.36,0.0344,0.7765
0,2,2,0.38,0.0473,0.7832
0,2,2,0.4,0.0601,0.7911
0,2,2,0.42,0.073,0.7943
0,2,2,0.44,0.0894,0.7979999999999999
0,2,2,0.46,0.111,0.804
0,2,2,0.48,0.1346,0.8112
0,2,2,0.5,0.1588,0.821
0,2,2,0.52,0.1891,0.8308
0,2,2,0.54,0.2184,0.8448
0,2,2,0.56,0.2441,0.8552
0,2,2,0.58,0.2713,0.8681
0,2,2,0.6,0.295,0.8746
0,2,2,0.62,0.3243,0.8852
0,2,2,0.64,0.3438,0.8872
0,2,2,0.66,0.3736,0.8999
0,2,2,0.68,0.3941,0.905
0,2,2,0.7000000000000001,0.4188,0.9125
0,2,2,0.72,0.4404,0.9118
0,2,2,0.74,0.4702,0.9156
0,2,2,0.76,0.4949,0.9196
0,2,2,0.78,0.5195,0.9262
0,2,2,0.8,0.5524,0.9334
0,2,2,0.8200000000000001,0.5822,0.941
0,2,2,0.84,0.6105,0.9459
0,2,2,0.86,0.6398,0.9601
0,2,2,0.88,0.667,0.963
0,2,2,0.9,0.6942,0.9697
0,2,2,0.92,0.723,0.9777
0,2,2,0.94,0.7487,0.9877
0,2,2,0.96,0.7718,0.9932
0,2,2,0.98,0.8083,0.9973
0,3,2,0.0,0.0,0.8522
0,3,2,0.02,0.0,0.8522
0,3,2,0.04,0.0,0.8522
0,3,2,0.06,0.0,0.8522
0,3,2,0.08,0.0,0.8522
0,3,2,0.1,0.0,0.8522
0,3,2,0.12,0.0,0.8522
0,3,2,0.14,0.0007,0.8521
0,3,2,0.16,0.0034,0.8517
0,3,2,0.18,0.0048,0.8522
0,3,2,0.2,0.0109,0.8561
0,3,2,0.22,0.0123,0.8572
0,3,2,0.24,0.0157,0.8574
0,3,2,0.26,0.0211,0.8587
0,3,2,0.28,0.0313,0.8594
0,3,2,0.3,0.0409,0.8594
0,3,2,0.32,0.0518,0.8614
0,3,2,0.34,0.0613,0.8628
0,3,2,0.36,0.0763,0.8665
0,3,2,0.38,0.0872,0.8709
0,3,2,0.4,0.109,0.8761
0,3,2,0.42,0.1335,0.8884
0,3,2,0.44,0.1533,0.897
0,3,2,0.46,0.1744,0.9076
0,3,2,0.48,0.1887,0.9152
0,3,2,0.5,0.2078,0.9235
0,3,2,0.52,0.2241,0.9324
0,3,2,0.54,0.2452,0.9440000000000001
0,3,2,0.56,0.2609,0.9512
0,3,2,0.58,0.2786,0.9622
0,3,2,0.6,0.295,0.9662
0,3,2,0.62,0.3086,0.9734
0,3,2,0.64,0.327,0.9757
0,3,2,0.66,0.3454,0.9781
0,3,2,0.68,0.3644,0.9818
0,3,2,0.7000000000000001,0.3781,0.9836
0,3,2,0.72,0.3924,0.9854
0,3,2,0.74,0.4074,0.9885
0,3,2,0.76,0.4298,0.9916
0,3,2,0.78,0.451,0.9938
0,3,2,0.8,0.4728,0.9961
0,3,2,0.8200000000000001,0.4925,0.996
0,3,2,0.84,0.5204,0.9957
0,3,2,0.86,0.5463,0.9985
0,3,2,0.88,0.5824,1.0
0,3,2,0.9,0.624,1.0
0,3,2,0.92,0.6723,1.0
0,3,2,0.94,0.7064,1.0
0,3,2,0.96,0.7432,1.0
0,3,2,0.98,0.7936,1.0
0,4,2,0.0,0.0,0.7515
0,4,2,0.02,0.0,0.7515
0,4,2,0.04,0.0,0.7515
0,4,2,0.06,0.0,0.7515
0,4,2,0.08,0.0006,0.752
0,4,2,0.1,0.0006,0.752
0,4,2,0.12,0.0006,0.752
0,4,2,0.14,0.0028,0.7536
0,4,2,0.16,0.005,0.7553
0,4,2,0.18,0.0056,0.7557
0,4,2,0.2,0.0078,0.7563
0,4,2,0.22,0.0095,0.7576
0,4,2,0.24,0.0128,0.7602
0,4,2,0.26,0.0162,0.7616
0,4,2,0.28,0.0184,0.7628
0,4,2,0.3,0.0256,0.7679
0,4,2,0.32,0.0323,0.7709
0,4,2,0.34,0.0462,0.7775
0,4,2,0.36,0.0546,0.782
0,4,2,0.38,0.0657,0.7883
0,4,2,0.4,0.073,0.7915
0,4,2,0.42,0.0864,0.7976
0,4,2,0.44,0.0986,0.8016
0,4,2,0.46,0.1081,0.807
0,4,2,0.48,0.1281,0.8141
0,4,2,0.5,0.1448,0.8235
0,4,2,0.52,0.1632,0.8329
0,4,2,0.54,0.19,0.8446
0,4,2,0.56,0.2072,0.8496
0,4,2,0.58,0.2301,0.8596
0,4,2,0.6,0.2513,0.8668
0,4,2,0.62,0.2646,0.8712
0,4,2,0.64,0.2858,0.8768
0,4,2,0.66,0.2975,0.8771
0,4,2,0.68,0.3198,0.8845
0,4,2,0.7000000000000001,0.3343,0.8912
0,4,2,0.72,0.3526,0.8933
0,4,2,0.74,0.3777,0.8997
0,4,2,0.76,0.3972,0.9085
0,4,2,0.78,0.4201,0.9203
0,4,2,0.8,0.4429,0.925
0,4,2,0.8200000000000001,0.4741,0.9311
0,4,2,0.84,0.4986,0.94
0,4,2,0.86,0.5359,0.9472
